Chromosome_MM1S_Pol2_DMSO	TSSR_Start_MM1S_Pol2_DMSO	TSSR_End_MM1S_Pol2_DMSO	GeneBody_Start_MM1S_Pol2_DMSO	GeneBody_End_MM1S_Pol2_DMSO	Strand_MM1S_Pol2_DMSO	Symbol_MM1S_Pol2_DMSO	IsOverlapped_MM1S_Pol2_DMSO	Traveling_Ratio_MM1S_Pol2_DMSO	reads.Promoter_MM1S_Pol2_DMSO	reads.TSSR_MM1S_Pol2_DMSO	reads.GeneBody_MM1S_Pol2_DMSO	reads.TESR_MM1S_Pol2_DMSO	iRatio_MM1S_Pol2_DMSO	Traveling_Ratio_MM1S_Pol2_JQKD82	reads.Promoter_MM1S_Pol2_JQKD82	reads.TSSR_MM1S_Pol2_JQKD82	reads.GeneBody_MM1S_Pol2_JQKD82	reads.TESR_MM1S_Pol2_JQKD82	iRatio_MM1S_Pol2_JQKD82
chr1	11843	12173	12173	14409	+	DDX11L1	Y	0	0	0	0	0	0.428571428571429	0	0	0	0	0	0.428571428571429
chr1	29070	29400	14361	29070	-	WASH7P	Y	0	0	0	0	3	0.428571428571429	0	0	0	0	4	0.428571428571429
chr1	35781	36111	34610	35781	-	FAM138A	Y	0	0	0	0	0	0.428571428571429	0	0	0	0	0	0.428571428571429
chr1	35781	36111	34610	35781	-	FAM138F	Y	0	0	0	0	0	0.428571428571429	0	0	0	0	0	0.428571428571429
chr1	69060	69390	69390	70008	+	OR4F5	N	0	0	0	0	2	0.428571428571429	0	1	0	0	0	0.857142857142857
chr1	140266	140596	134772	140266	-	LOC729737	N	0	0	0	0	0	0.428571428571429	0	0	0	0	0	0.428571428571429
chr1	323861	324191	324191	328581	+	LOC100132287	Y	0	0	0	0	0	0.428571428571429	0	0	0	0	0	0.428571428571429
chr1	323861	324191	324191	328581	+	LOC100132062	Y	0	0	0	0	0	0.428571428571429	0	0	0	0	0	0.428571428571429
chr1	323861	324191	324191	665731	+	LOC100133331	Y	0	0	0	3	0	0.428571428571429	0	0	0	3	1	0.428571428571429
chr1	367628	367958	367958	368597	+	OR4F29	Y	0	0	0	0	0	0.428571428571429	0	0	0	0	0	0.428571428571429
chr1	367628	367958	367958	368597	+	OR4F3	Y	0	0	0	0	0	0.428571428571429	0	0	0	0	0	0.428571428571429
chr1	367628	367958	367958	368597	+	OR4F16	Y	0	0	0	0	0	0.428571428571429	0	0	0	0	0	0.428571428571429
chr1	564089	564419	562759	564089	-	LOC101928626	Y	0	0	0	0	0	0.428571428571429	0	0	0	0	0	0.428571428571429
chr1	713768	714098	700244	713768	-	LOC100288069	N	173.058468100231	52	72	17	0	0.311154598825832	245.166163141994	50	114	19	0	0.190062111801242
